+----------------------------------+---------------------------------------------------------+------------------------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                         | Registry name                                           | Display name                 | Max Damage | Tags                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Simply Swords                    | simplyswords:shadowsting                                | Shadowsting                  | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:slumbering_lichblade                       | Slumbering Lichblade         | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:soulkeeper                                 | Soulkeeper                   | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:soulpyre                                   | Soul Pyre                    | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:soulrender                                 | Soulrender                   | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:soulstealer                                | Soulstealer                  | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:stormbringer                               | Stormbringer                 | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:storms_edge                                | Storm's Edge                 | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:sunfire                                    | Sunfire                      | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:sword_on_a_stick                           | Sword on a Stick             | 59         | simplyswords:swords, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Simply Swords                    | simplyswords:tainted_relic                              | Tainted Relic                | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:thunderbrand                               | Thunderbrand                 | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:toxic_longsword                            | Longsword of the Plague      | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:twisted_blade                              | Twisted Blade                | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:waking_lichblade                           | Waking Lichblade             | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:watcher_claymore                           | The Watcher                  | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:watching_warglaive                         | Watching Warglaive           | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Supplementaries                  | supplementaries:bamboo_spikes_tipped                    | Tipped Bamboo Spikes         | 16         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Supplementaries                  | supplementaries:bubble_blower                           | Bubble Blower                | 250        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Supplementaries                  | supplementaries:flute                                   | Flute                        | 64         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Supplementaries                  | supplementaries:rope_arrow                              | Rope Arrow                   | 32         | minecraft:arrows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Supplementaries                  | supplementaries:slingshot                               | Slingshot                    | 192        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Supplementaries                  | supplementaries:wrench                                  | Wrench                       | 200        | forge:tools/wrench, supplementaries:statue_tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Thermal Series                   | thermal:beekeeper_boots                                 | Beekeeper's Boots            | 52         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:beekeeper_chestplate                            | Beekeeper's Jacket           | 64         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:beekeeper_helmet                                | Beekeeper's Hood             | 44         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:beekeeper_leggings                              | Beekeeper's Pants            | 60         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:diving_boots                                    | Diving Flippers              | 156        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:diving_chestplate                               | Diving Suit                  | 192        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:diving_helmet                                   | Diving Helmet                | 132        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:diving_leggings                                 | Diving Leggings              | 180        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:hazmat_boots                                    | Hazmat Boots                 | 78         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:hazmat_chestplate                               | Hazmat Suit                  | 96         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:hazmat_helmet                                   | Hazmat Helmet                | 66         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Thermal Series                   | thermal:hazmat_leggings                                 | Hazmat Pants                 | 90         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Tinkers' Construct               | tconstruct:broad_axe                                    | Broad Axe                    | 1          | tconstruct:modifiable/bonus_slots, tconstruct:modifiable/melee, tconstruct:modifiable/interactable/right, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/multipart, tconstruct:modifiable/held, tconstruct:modifiable/harvest, tconstruct:modifiable/melee/primary, tconstruct:modifiable/interactable, tconstruct:modifiable/broad, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/durability, tconstruct:modifiable/harvest/primary, parry:excluded_shields, tconstruct:modifiable/aoe                                                                          |
| Tinkers' Construct               | tconstruct:cleaver                                      | Cleaver                      | 1          | tconstruct:modifiable/bonus_slots, tconstruct:modifiable/melee, tconstruct:modifiable/interactable/right, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/multipart, tconstruct:modifiable/held, tconstruct:modifiable/harvest, tconstruct:modifiable/melee/primary, tconstruct:modifiable/interactable, tconstruct:modifiable/melee/sword, tconstruct:modifiable/broad, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/durability, parry:excluded_shields, tconstruct:modifiable/aoe                                                                              |
| Tinkers' Construct               | tconstruct:crossbow                                     | Crossbow                     | 1          | tconstruct:modifiable/durability, tconstruct:modifiable/melee, tconstruct:modifiable/ranged, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/interactable/left, parry:excluded_shields, tconstruct:modifiable/interactable, tconstruct:modifiable, tconstruct:modifiable/small, tconstruct:modifiable/ranged/bows, tconstruct:modifiable/ranged/crossbows, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/held, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/multipart                                                                                                        |
| Tinkers' Construct               | tconstruct:dagger                                       | Dagger                       | 1          | tconstruct:modifiable/bonus_slots, tconstruct:modifiable/melee, tconstruct:modifiable/interactable/right, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/melee/parry, tconstruct:modifiable/multipart, tconstruct:modifiable/held, tconstruct:modifiable/melee/primary, tconstruct:modifiable/harvest, tconstruct:modifiable/unsalvageable, tconstruct:modifiable/small, tconstruct:modifiable/interactable, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/durability, parry:excluded_shields                                                                    |
| Tinkers' Construct               | tconstruct:earth_staff                                  | Earthslime Staff             | 1          | tconstruct:modifiable/embellishment/wood, tconstruct:modifiable/armor/held, tconstruct:modifiable/interactable/right, tconstruct:modifiable/aoe, tconstruct:modifiable/interactable, tconstruct:modifiable/held, tconstruct:modifiable/dyeable, tconstruct:modifiable/staffs, tconstruct:modifiable/interactable/left, tconstruct:modifiable, parry:excluded_shields, tconstruct:modifiable/special, tconstruct:modifiable/interactable/dual, tconstruct:modifiable/armor, tconstruct:modifiable/durability, tconstruct:modifiable/ranged, tconstruct:modifiable/bonus_slots                                        |
| Tinkers' Construct               | tconstruct:ender_staff                                  | Enderslime Staff             | 1          | tconstruct:modifiable/embellishment/wood, tconstruct:modifiable/armor/held, tconstruct:modifiable/interactable/right, tconstruct:modifiable/aoe, tconstruct:modifiable/interactable, tconstruct:modifiable/held, tconstruct:modifiable/dyeable, tconstruct:modifiable/staffs, tconstruct:modifiable/interactable/left, tconstruct:modifiable, parry:excluded_shields, tconstruct:modifiable/special, tconstruct:modifiable/interactable/dual, tconstruct:modifiable/armor, tconstruct:modifiable/durability, tconstruct:modifiable/ranged, tconstruct:modifiable/bonus_slots                                        |
| Tinkers' Construct               | tconstruct:excavator                                    | Excavator                    | 1          | tconstruct:modifiable/harvest, tconstruct:modifiable/interactable/right, tconstruct:modifiable/broad, tconstruct:modifiable/melee, tconstruct:modifiable/durability, tconstruct:modifiable/melee/weapon, parry:excluded_shields, tconstruct:modifiable/interactable, tconstruct:modifiable/aoe, tconstruct:modifiable, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/held, tconstruct:modifiable/multipart, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/harvest/primary                                                                                                               |
| Tinkers' Construct               | tconstruct:flint_and_brick                              | Flint and Brick              | 1          | tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/durability, tconstruct:modifiable/small, tconstruct:modifiable/interactable, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/interactable/right, tconstruct:modifiable/held, tconstruct:modifiable/melee, parry:excluded_shields, tconstruct:modifiable/aoe, tconstruct:modifiable                                                                                                                                                                                                                      |
| Tinkers' Construct               | tconstruct:hand_axe                                     | Hand Axe                     | 1          | tconstruct:modifiable/bonus_slots, tconstruct:modifiable/melee, tconstruct:modifiable/interactable/right, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/multipart, tconstruct:modifiable/held, tconstruct:modifiable/harvest, tconstruct:modifiable/melee/primary, tconstruct:modifiable/small, tconstruct:modifiable/interactable, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/durability, tconstruct:modifiable/harvest/primary, parry:excluded_shields, tconstruct:modifiable/aoe                                                                          |
| Tinkers' Construct               | tconstruct:ichor_staff                                  | Ichor Staff                  | 1          | tconstruct:modifiable/embellishment/wood, tconstruct:modifiable/armor/held, tconstruct:modifiable/interactable/right, tconstruct:modifiable/aoe, tconstruct:modifiable/interactable, tconstruct:modifiable/held, tconstruct:modifiable/dyeable, tconstruct:modifiable/staffs, tconstruct:modifiable/interactable/left, tconstruct:modifiable, parry:excluded_shields, tconstruct:modifiable/special, tconstruct:modifiable/interactable/dual, tconstruct:modifiable/armor, tconstruct:modifiable/durability, tconstruct:modifiable/ranged, tconstruct:modifiable/bonus_slots                                        |
| Tinkers' Construct               | tconstruct:kama                                         | Kama                         | 1          | tconstruct:modifiable/harvest, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/multipart, bookshelf:shears, tconstruct:modifiable/interactable, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/harvest/primary, tconstruct:modifiable, parry:excluded_shields, tconstruct:modifiable/durability, forge:tools/scythe, tconstruct:modifiable/interactable/right, tconstruct:modifiable/held, tconstruct:modifiable/melee, tconstruct:modifiable/small, tconstruct:modifiable/melee/weapon, forge:shears, tconstruct:modifiable/aoe                                                           |
| Tinkers' Construct               | tconstruct:longbow                                      | Longbow                      | 1          | tconstruct:modifiable/durability, tconstruct:modifiable/broad, tconstruct:modifiable/melee, tconstruct:modifiable/ranged, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/interactable/left, parry:excluded_shields, tconstruct:modifiable/interactable, tconstruct:modifiable, tconstruct:modifiable/ranged/longbows, tconstruct:modifiable/ranged/bows, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/held, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/multipart                                                                                                         |
| Tinkers' Construct               | tconstruct:mattock                                      | Mattock                      | 1          | tconstruct:modifiable/harvest, tconstruct:modifiable/interactable/right, tconstruct:modifiable/melee, tconstruct:modifiable/durability, tconstruct:modifiable/melee/weapon, parry:excluded_shields, tconstruct:modifiable/interactable, tconstruct:modifiable/aoe, tconstruct:modifiable, tconstruct:modifiable/small, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/held, tconstruct:modifiable/multipart, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/harvest/primary                                                                                                               |
| Tinkers' Construct               | tconstruct:pickadze                                     | Pickadze                     | 1          | tconstruct:modifiable/bonus_slots, tconstruct:modifiable/melee, tconstruct:modifiable/interactable/right, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/multipart, tconstruct:modifiable/held, tconstruct:modifiable/harvest, tconstruct:modifiable/small, tconstruct:modifiable/interactable, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/harvest/stone, tconstruct:modifiable/durability, tconstruct:modifiable/harvest/primary, parry:excluded_shields, tconstruct:modifiable/aoe                                                                          |
| Tinkers' Construct               | tconstruct:pickaxe                                      | Pickaxe                      | 1          | tconstruct:modifiable/small, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/harvest, tconstruct:modifiable/multipart, tconstruct:modifiable/interactable/right, tconstruct:modifiable/aoe, tconstruct:modifiable/interactable, tconstruct:modifiable/harvest/stone, tconstruct:modifiable/held, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, parry:excluded_shields, minecraft:cluster_max_harvestables, tconstruct:modifiable/melee, tconstruct:modifiable/harvest/primary, tconstruct:modifiable/durability, tconstruct:modifiable/bonus_slots                                      |
| Tinkers' Construct               | tconstruct:plate_boots                                  | Plate Boots                  | 1          | tconstruct:modifiable/armor/worn, tconstruct:modifiable/armor/boots, tconstruct:modifiable/durability, tconstruct:modifiable, tconstruct:modifiable/aoe, tconstruct:modifiable/book_armor/puny_smelting, tconstruct:modifiable/book_armor, tconstruct:modifiable/armor, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/multipart                                                                                                                                                                                                                                                                          |
| Tinkers' Construct               | tconstruct:plate_chestplate                             | Plate Chestplate             | 1          | tconstruct:modifiable/durability, tconstruct:modifiable/melee/unarmed, tconstruct:modifiable/book_armor/puny_smelting, tconstruct:modifiable/multipart, tconstruct:modifiable/book_armor, tconstruct:modifiable/interactable, tconstruct:modifiable/armor/worn, tconstruct:modifiable/melee, tconstruct:modifiable, tconstruct:modifiable/interactable/armor, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/armor/chestplate, tconstruct:modifiable/armor, tconstruct:modifiable/loot_capable_tool                                                                                                       |
| Tinkers' Construct               | tconstruct:plate_helmet                                 | Plate Helmet                 | 1          | tconstruct:modifiable/durability, tconstruct:modifiable/armor/helmets, tconstruct:modifiable/armor, tconstruct:modifiable/armor/worn, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/multipart, tconstruct:modifiable, tconstruct:modifiable/book_armor, tconstruct:modifiable/book_armor/puny_smelting                                                                                                                                                                                                                                                                                                   |
| Tinkers' Construct               | tconstruct:plate_leggings                               | Plate Leggings               | 1          | tconstruct:modifiable/durability, tconstruct:modifiable/armor, tconstruct:modifiable/armor/worn, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/multipart, tconstruct:modifiable, tconstruct:modifiable/armor/leggings, tconstruct:modifiable/book_armor, tconstruct:modifiable/book_armor/puny_smelting                                                                                                                                                                                                                                                                                                  |
| Tinkers' Construct               | tconstruct:plate_shield                                 | Plate Shield                 | 1          | parry:excluded_shields, tconstruct:modifiable/armor/held, tconstruct:modifiable/durability, tconstruct:modifiable/interactable/left, tconstruct:modifiable, tconstruct:modifiable/armor, tconstruct:modifiable/multipart, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/interactable, tconstruct:modifiable/held, tconstruct:modifiable/shields, tconstruct:modifiable/book_armor/puny_smelting, tconstruct:modifiable/book_armor                                                                                                                                                                        |
| Tinkers' Construct               | tconstruct:scythe                                       | Scythe                       | 1          | tconstruct:modifiable/broad, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/harvest, tconstruct:modifiable/multipart, tconstruct:modifiable/interactable/right, tconstruct:modifiable/aoe, tconstruct:modifiable/melee/primary, tconstruct:modifiable/interactable, forge:tools/scythe, tconstruct:modifiable/held, tconstruct:modifiable, tconstruct:modifiable/melee/weapon, parry:excluded_shields, tconstruct:modifiable/melee, tconstruct:modifiable/harvest/primary, tconstruct:modifiable/durability, tconstruct:modifiable/bonus_slots                                                      |
| Tinkers' Construct               | tconstruct:sky_staff                                    | Skyslime Staff               | 1          | tconstruct:modifiable/embellishment/wood, tconstruct:modifiable/armor/held, tconstruct:modifiable/interactable/right, tconstruct:modifiable/aoe, tconstruct:modifiable/interactable, tconstruct:modifiable/held, tconstruct:modifiable/dyeable, tconstruct:modifiable/staffs, tconstruct:modifiable/interactable/left, tconstruct:modifiable, parry:excluded_shields, tconstruct:modifiable/special, tconstruct:modifiable/interactable/dual, tconstruct:modifiable/armor, tconstruct:modifiable/durability, tconstruct:modifiable/ranged, tconstruct:modifiable/bonus_slots                                        |
| Tinkers' Construct               | tconstruct:sledge_hammer                                | Sledge Hammer                | 1          | tconstruct:modifiable/harvest, tconstruct:modifiable/loot_capable_tool, minecraft:cluster_max_harvestables, tconstruct:modifiable/multipart, tconstruct:modifiable/harvest/stone, tconstruct:modifiable/interactable, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/harvest/primary, tconstruct:modifiable, tconstruct:modifiable/broad, parry:excluded_shields, tconstruct:modifiable/durability, tconstruct:modifiable/interactable/right, tconstruct:modifiable/held, tconstruct:modifiable/melee, tconstruct:modifiable/melee/primary, tconstruct:modifiable/melee/weapon, tconstruct:modifiable/aoe |
| Tinkers' Construct               | tconstruct:slime_boots                                  | Slimeboots                   | 1          | tconstruct:modifiable/armor/golden, tconstruct:modifiable/armor, tconstruct:modifiable/book_armor/tinkers_gadgetry, tconstruct:modifiable/aoe, tconstruct:modifiable/armor/worn, tconstruct:modifiable/embellishment/slime, tconstruct:modifiable/book_armor, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/armor/boots, tconstruct:modifiable/durability, tconstruct:modifiable                                                                                                                                                                                                                         |
| Tinkers' Construct               | tconstruct:slime_chestplate                             | Slimelytra                   | 1          | tconstruct:modifiable/armor/chestplate, tconstruct:modifiable/interactable/armor, tconstruct:modifiable/melee, tconstruct:modifiable/embellishment/slime, tconstruct:modifiable/durability, tconstruct:modifiable/armor, tconstruct:modifiable/interactable, tconstruct:modifiable, tconstruct:modifiable/loot_capable_tool, tconstruct:modifiable/melee/unarmed, tconstruct:modifiable/book_armor/tinkers_gadgetry, tconstruct:modifiable/armor/golden, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/armor/worn, tconstruct:modifiable/book_armor                                                      |
| Tinkers' Construct               | tconstruct:slime_helmet                                 | Slimeskull                   | 1          | tconstruct:modifiable/armor/golden, tconstruct:modifiable/armor, tconstruct:modifiable/book_armor/tinkers_gadgetry, tconstruct:modifiable/armor/worn, tconstruct:modifiable/armor/helmets, tconstruct:modifiable/embellishment/slime, tconstruct:modifiable/book_armor, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/durability, tconstruct:modifiable/multipart, tconstruct:modifiable                                                                                                                                                                                                                 |
| Tinkers' Construct               | tconstruct:slime_leggings                               | Slimeshell                   | 1          | tconstruct:modifiable/armor/worn, tconstruct:modifiable/durability, tconstruct:modifiable, tconstruct:modifiable/armor/golden, tconstruct:modifiable/book_armor, tconstruct:modifiable/armor, tconstruct:modifiable/book_armor/tinkers_gadgetry, tconstruct:modifiable/embellishment/slime, tconstruct:modifiable/bonus_slots, tconstruct:modifiable/armor/leggings                                                                                                                                                                                                                                                 |
